symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session
US100,SELL,2024-03-12 14:00:00+00:00,2024-03-12 15:30:00+00:00,18046.05,18204.23,-16.525638785714317,1.5,0,SOFT_ATR_STOP,
BTCUSD,SELL,2024-03-12 07:00:00+00:00,2024-03-12 17:45:00+00:00,72187.64,69411.80771428571,27.684050450000065,10.75,0,TRAILING_BE_EXIT,
US500,BUY,2024-03-12 16:00:00+00:00,2024-03-12 19:45:00+00:00,5170.16,5178.501428571428,0.13047457142851115,3.75,0,TRAILING_BE_EXIT,
BTCUSD,SELL,2024-03-12 18:00:00+00:00,2024-03-13 06:00:00+00:00,70892.09,72145.89,-12.612129589285743,12.0,0,12H_ML_CUT,
XAUUSD,SELL,2024-03-12 20:00:00+00:00,2024-03-13 08:00:00+00:00,2157.314,2159.648,-2.61503739285743,12.0,0,12H_ML_CUT,
XAUUSD,SELL,2024-03-13 08:00:00+00:00,2024-03-13 09:00:00+00:00,2159.648,2157.912642857143,1.4551510714285116,1.0,0,TRAILING_BE_EXIT,
US500,SELL,2024-03-13 06:00:00+00:00,2024-03-13 09:15:00+00:00,5182.77,5180.061428571429,-0.4316845714285839,3.25,0,TRAILING_BE_EXIT,
USDCAD,SELL,2024-03-13 10:00:00+00:00,2024-03-13 12:30:00+00:00,1.34905,1.348746,0.44179274674462043,2.5,0,TRAILING_BE_EXIT,
GBPUSD,BUY,2024-03-13 11:00:00+00:00,2024-03-13 13:30:00+00:00,1.27904,1.2795867857142857,1.960701162857605,2.5,0,TRAILING_BE_EXIT,
US500,SELL,2024-03-13 13:00:00+00:00,2024-03-13 14:30:00+00:00,5179.54,5174.2339999999995,-0.17192449999995063,1.5,0,TRAILING_BE_EXIT,
US100,SELL,2024-03-13 15:00:00+00:00,2024-03-13 16:00:00+00:00,18092.07,18071.9275,1.308221499999811,1.0,0,TRAILING_BE_EXIT,
EURUSD,BUY,2024-03-13 14:00:00+00:00,2024-03-13 19:00:00+00:00,1.09369,1.0951622857142858,10.018270011428486,5.0,0,TRAILING_BE_EXIT,
XAUUSD,BUY,2024-03-13 16:00:00+00:00,2024-03-13 19:45:00+00:00,2171.759,2174.4444857142857,2.40379132142859,3.75,0,TRAILING_BE_EXIT,
